Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Downers Grove 097,Roskam,45.51%,213,Casten,54.49%,255,468,67.76%
Downers Grove 098,Roskam,51.98%,236,Casten,48.02%,218,454,62.16%
Downers Grove 102,Roskam,51.76%,191,Casten,48.24%,178,369,62.52%
Downers Grove 103,Roskam,44.22%,195,Casten,55.78%,246,441,59.47%
Downers Grove 105,Roskam,34.46%,193,Casten,65.54%,367,560,60.73%
Downers Grove 106,Roskam,46.97%,209,Casten,53.03%,236,445,65.52%
Downers Grove 107,Roskam,47.86%,246,Casten,52.14%,268,514,63.20%
Downers Grove 109,Roskam,51.03%,174,Casten,48.97%,167,341,61.22%
Downers Grove 112,Roskam,39.46%,174,Casten,60.54%,267,441,55.53%
Downers Grove 113,Roskam,31.34%,84,Casten,68.66%,184,268,44.96%
Downers Grove 115,Roskam,48.54%,216,Casten,51.46%,229,445,61.44%
Downers Grove 118,Roskam,26.87%,108,Casten,73.13%,294,402,45.91%
Downers Grove 119,Roskam,49.60%,185,Casten,50.40%,188,373,61.40%
Downers Grove 120,Roskam,47.02%,142,Casten,52.98%,160,302,64.36%
Downers Grove 121,Roskam,45.24%,195,Casten,54.76%,236,431,72.43%
Downers Grove 127,Roskam,39.29%,154,Casten,60.71%,238,392,59.43%
Downers Grove 129,Roskam,33.41%,151,Casten,66.59%,301,452,58.59%
Downers Grove 130,Roskam,31.00%,115,Casten,69.00%,256,371,48.13%
Downers Grove 131,Roskam,38.36%,173,Casten,61.64%,278,451,57.99%
Downers Grove 132,Roskam,50.30%,170,Casten,49.70%,168,338,64.29%
Downers Grove 140,Roskam,45.21%,170,Casten,54.79%,206,376,66.19%
Downers Grove 141,Roskam,51.50%,137,Casten,48.50%,129,266,58.57%
Downers Grove 142,Roskam,36.97%,88,Casten,63.03%,150,238,43.78%
Downers Grove 145,Roskam,36.75%,172,Casten,63.25%,296,468,67.00%
Downers Grove 146,Roskam,39.31%,195,Casten,60.69%,301,496,62.48%
Downers Grove 147,Roskam,43.12%,119,Casten,56.88%,157,276,58.59%
Downers Grove 148,Roskam,41.79%,140,Casten,58.21%,195,335,63.50%
Downers Grove 149,Roskam,50.20%,255,Casten,49.80%,253,508,67.95%
Downers Grove 151,Roskam,46.94%,161,Casten,53.06%,182,343,66.86%
Downers Grove 154,Roskam,51.59%,162,Casten,48.41%,152,314,55.75%
