Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Granite City 25,Bost,51.68%,200,Kelly,42.64%,165,Auxier,5.68%,22,387,53.70%
Alton 01,Bost,33.56%,150,Kelly,62.42%,279,Auxier,4.03%,18,447,53.05%
Alton 02,Bost,39.32%,81,Kelly,53.88%,111,Auxier,6.80%,14,206,37.41%
Alton 03,Bost,42.78%,249,Kelly,52.58%,306,Auxier,4.64%,27,582,61.00%
Alton 04,Bost,20.31%,78,Kelly,77.34%,297,Auxier,2.34%,9,384,45.08%
Alton 05,Bost,48.73%,288,Kelly,47.04%,278,Auxier,4.23%,25,591,55.41%
Alton 06,Bost,45.27%,153,Kelly,51.18%,173,Auxier,3.55%,12,338,55.37%
Alton 07,Bost,33.07%,83,Kelly,64.54%,162,Auxier,2.39%,6,251,50.60%
Alton 08,Bost,21.99%,64,Kelly,75.26%,219,Auxier,2.75%,8,291,44.05%
Alton 09,Bost,38.87%,103,Kelly,55.85%,148,Auxier,5.28%,14,265,45.24%
Alton 10,Bost,46.15%,138,Kelly,45.82%,137,Auxier,8.03%,24,299,49.92%
Alton 11,Bost,27.20%,99,Kelly,69.23%,252,Auxier,3.57%,13,364,56.81%
Alton 12,Bost,39.83%,139,Kelly,56.45%,197,Auxier,3.72%,13,349,59.63%
Alton 13,Bost,34.71%,126,Kelly,60.33%,219,Auxier,4.96%,18,363,50.84%
Alton 14,Bost,42.86%,138,Kelly,53.42%,172,Auxier,3.73%,12,322,51.91%
Alton 15,Bost,39.46%,118,Kelly,55.18%,165,Auxier,5.35%,16,299,53.64%
Alton 16,Bost,35.04%,130,Kelly,60.11%,223,Auxier,4.85%,18,371,40.94%
Alton 17,Bost,46.07%,123,Kelly,49.81%,133,Auxier,4.12%,11,267,51.34%
Alton 18,Bost,12.59%,35,Kelly,84.17%,234,Auxier,3.24%,9,278,42.64%
Alton 19,Bost,16.99%,88,Kelly,78.38%,406,Auxier,4.63%,24,518,52.51%
Alton 20,Bost,33.59%,87,Kelly,59.85%,155,Auxier,6.56%,17,259,39.10%
Alton 21,Bost,47.23%,341,Kelly,49.17%,355,Auxier,3.60%,26,722,58.29%
Alton 22,Bost,17.84%,43,Kelly,79.67%,192,Auxier,2.49%,6,241,40.71%
Alton 23,Bost,22.68%,66,Kelly,75.26%,219,Auxier,2.06%,6,291,49.00%
Alton 24,Bost,47.35%,116,Kelly,46.94%,115,Auxier,5.71%,14,245,49.90%
Alton 25,Bost,39.34%,48,Kelly,56.56%,69,Auxier,4.10%,5,122,33.70%
Godfrey 02,Bost,50.00%,2,Kelly,50.00%,2,Auxier,0.00%,0,4,53.82%
